Mes_escrito;Mes;Anio;Mes/Año;Producto;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Marzo;3;2019;mar-19;Ajo;Primera;$/unidad;100;350;191;80;19000;380*trenza de 50 unidades;4000/trenza de 50 unidades
Abril;4;2019;abr-19;Ajo;Primera;$/unidad;100;350;183;74;22000;440*trenza de 50 unidades;3670/trenza de 50 unidades
Mayo;5;2019;may-19;Ajo;Primera;$/unidad;100;350;173;75;39500;790*trenza de 50 unidades;3722/trenza de 50 unidades
Junio;6;2019;jun-19;Ajo;Primera;$/unidad;100;400;186;75;39500;;
Julio;7;2019;jul-19;Ajo;Primera;$/unidad;100;400;200;80;31000;;
Agosto;8;2019;ago-19;Ajo;Primera;$/unidad;150;350;215;80;31000;;
Septiembre;9;2019;sept-19;Ajo;Primera;$/unidad;150;400;218;80;31000;;
Octubre;10;2019;oct-19;Ajo;Primera;$/unidad;150;400;216;80;31000;;1600/paquete 20 unidades
Noviembre;11;2019;nov-19;Ajo;Primera;$/unidad;100;400;214;72;469000;;1436/paquete 20 unidades
Diciembre;12;2019;dic-19;Ajo;Primera;$/unidad;100;400;208;75;79000;;1500/paquete  20 unidades
Enero;1;2020;ene-20;Ajo;Primera;$/unidad;150;400;224;114;46000;920*trenza 50 unidades;5696/trenza 50 unidades
Febrero;2;2020;feb-20;Ajo;Primera;$/unidad;166;400;251;200;8500;170*trenza 50 unidades;10000/trenza 50 unidades
Marzo;3;2020;mar-20;Ajo;Primera;$/unidad;150;450;282;200;12500;250*trenza de 50 unidades;10000/trenza de 50 unidades
Mayo;5;2019;may-19;Alcachofa;Primera;$/unidad;200;900;466;132;76500;;
Junio;6;2019;jun-19;Alcachofa;Primera;$/unidad;200;800;433;132;76500;;
Julio;7;2019;jul-19;Alcachofa;Primera;$/unidad;250;800;450;132;76500;;
Agosto;8;2019;ago-19;Alcachofa;Primera;$/unidad;200;700;454;132;76500;;
Septiembre;9;2019;sept-19;Alcachofa;Primera;$/unidad;200;700;368;132;76500;;
Octubre;10;2019;oct-19;Alcachofa;Primera;$/unidad;166;700;296;237;370000;;
Noviembre;11;2019;nov-19;Alcachofa;Primera;$/unidad;125;600;225;115;531000;;
Marzo;3;2019;mar-19;Apio;Primera;$/unidad;600;1.500;935;469;21600;;
Abril;4;2019;abr-19;Apio;Primera;$/unidad;600;1.500;955;469;21600;1800*docena de matas;5622/docena de matas
Mayo;5;2019;may-19;Apio;Primera;$/unidad;600;1.500;895;444;10800;;
Junio;6;2019;jun-19;Apio;Primera;$/unidad;600;1.500;918;444;10800;;
Julio;7;2019;jul-19;Apio;Primera;$/unidad;600;1.500;914;444;10800;;
Agosto;8;2019;ago-19;Apio;Primera;$/unidad;600;1.500;959;469;21600;;
Septiembre;9;2019;sept-19;Apio;Primera;$/unidad;600;1.500;875;500;8400;700*docena de matas;6000/docena de matas
Octubre;10;2019;oct-19;Apio;Primera;$/unidad;500;1.500;875;297;10560;880*docena de matas;3568/docena de matas
Noviembre;11;2019;nov-19;Apio;Primera;$/unidad;500;1.500;900;444;10800;900*docena de matas;5333/docena de matas
Diciembre;12;2019;dic-19;Apio;Primera;$/unidad;600;2.000;1.035;441;119040;;
Enero;1;2020;ene-20;Apio;Primera;$/unidad;700;2.000;1.203;651;39.000;;
Febrero;2;2020;feb-20;Apio;Primera;$/unidad;1.000;1.800;1.236;651;39.000;3250*docena de matas;7808/docena de matas
Marzo;3;2020;mar-20;Apio;Primera;$/unidad;700;2.000;1.070;441;119040;9923*docena de matas;5299/docena de matas
Marzo;3;2019;mar-19;Arveja Verde;Primera;$/kilo;800;1.600;1.083;629;40750;;
Abril;4;2019;abr-19;Arveja Verde;Primera;$/kilo;800;1.400;1.060;629;40750;;
Mayo;5;2019;may-19;Arveja Verde;Primera;$/kilo;800;1.500;1.145;629;40750;;
Junio;6;2019;jun-19;Arveja Verde;Primera;$/kilo;800;1.600;1.141;629;40750;;
Julio;7;2019;jul-19;Arveja Verde;Primera;$/kilo;700;1.600;1.117;629;40750;;
Agosto;8;2019;ago-19;Arveja Verde;Primera;$/kilo;700;1.600;1.139;629;40750;;
Septiembre;9;2019;sept-19;Arveja Verde;Primera;$/kilo;700;1.600;1.089;629;40750;;
Octubre;10;2019;oct-19;Arveja Verde;Primera;$/kilo;700;1.500;1.028;629;40750;1630*malla 25 kilos;15724/malla 25 kilos
Noviembre;11;2019;nov-19;Arveja Verde;Primera;$/kilo;600;1.500;942;619;93750;3750*malla 25 kilos;15464/malla 25 kilos
Diciembre;12;2019;dic-19;Arveja Verde;Primera;$/kilo;500;1.500;933;619;93750;;
Enero;1;2020;ene-20;Arveja Verde;Primera;$/kilo;700;1.800;1.020;619;93750;;
Febrero;2;2020;feb-20;Arveja Verde;Primera;$/kilo;800;1.600;1.111;619;93750;;
Marzo;3;2020;mar-20;Arveja Verde;Primera;$/kilo;700;1.400;1.030;619;93750;;
Marzo;3;2019;mar-19;Brócoli;Primera;$/unidad;500;2.600;808;528;191500;;
Abril;4;2019;abr-19;Brócoli;Primera;$/unidad;600;1.500;973;741;202900;;
Mayo;5;2019;may-19;Brócoli;Primera;$/unidad;600;1.400;893;670;10700;;
Junio;6;2019;jun-19;Brócoli;Primera;$/unidad;600;1.400;842;508;163200;;
Julio;7;2019;jul-19;Brócoli;Primera;$/unidad;500;1.200;821;573;38800;;
Agosto;8;2019;ago-19;Brócoli;Primera;$/unidad;450;1.200;727;462;165400;;
Septiembre;9;2019;sept-19;Brócoli;Primera;$/unidad;400;1.000;737;452;283400;;
Octubre;10;2019;oct-19;Brócoli;Primera;$/unidad;400;1.200;728;463;409.250;;
Noviembre;11;2019;nov-19;Brócoli;Primera;$/unidad;500;1.000;673;412;354.800;;
Diciembre;12;2019;dic-19;Brócoli;Primera;$/unidad;500;1.200;694;403;290.300;;
Enero;1;2020;ene-20;Brócoli;Primera;$/unidad;600;1.600;869;547;121.520;;
Febrero;2;2020;feb-20;Brócoli;Primera;$/unidad;650;1.500;1.115;746;78.100;;
Marzo;3;2020;mar-20;Brócoli;Primera;$/unidad;800;2.500;1.317;935;109.600;;
Marzo;3;2019;mar-19;Cebolla;1a (cosecha);$/kilo;250;700;481;284;283.000;14150*caja 20 kilos;5681/caja 20 kilos
Abril;4;2019;abr-19;Cebolla;1a (cosecha);$/kilo;450;500;475;263;258.000;12900*caja 20 kilos;5269/caja 20 kilos
Mayo;5;2019;may-19;Cebolla;1a (guarda);$/kilo;450;1.000;590;325;248.000;12400*caja 20 kilos;6497/caja 20 kilos
Junio;6;2019;jun-19;Cebolla;1a (guarda);$/kilo;400;800;623;310;320.000;16000*caja 20 kilos;6208/caja 20 kilos
Julio;7;2019;jul-19;Cebolla;1a (guarda);$/kilo;400;700;535;322;331.800;16590*caja 20 kilos;6438/caja 20 kilos
Agosto;8;2019;ago-19;Cebolla;1a (guarda);$/kilo;400;800;643;404;431.600;21580*caja 20 kilos;8087/caja 20 kilos
Septiembre;9;2019;sept-19;Cebolla;1a (guarda);$/kilo;400;1.000;729;407;431.800;21590*caja 20 kilos;8143/caja 20 kilos
Octubre;10;2019;oct-19;Cebolla;1a (guarda);$/kilo;500;1.000;795;349;401.600;20080*caja 20 kilos;6987/caja 20 kilos
Noviembre;11;2019;nov-19;Cebolla;1a (guarda);$/kilo;1.000;1.000;1.000;315;195.000;9750*caja 20 kilos;6305/caja 20 kilos
Diciembre;12;2019;dic-19;Cebolla;1a nueva(o);$/kilo;400;600;500;176;441.000;24500*malla 18 kilos;3159/malla 18 kilos
Enero;1;2020;ene-20;Cebolla;1a nueva(o);$/kilo;400;450;433;182;54.000;3000*malla 18 kilos;3283/malla 18 kilos
Febrero;2;2020;feb-20;Cebolla;1a nueva(o);$/kilo;450;600;550;176;441.000;;
Marzo;3;2020;mar-20;Cebolla;1a (cosecha);$/kilo;390;450;420;336;255.000;12750*caja 20 kilos;6716/caja 20 kilos
Marzo;3;2019;mar-19;Choclo;Primera;$/unidad;150;500;253;107;785.000;;
Abril;4;2019;abr-19;Choclo;Primera;$/unidad;150;400;244;98;984.000;;
Mayo;5;2019;may-19;Choclo;Primera;$/unidad;100;450;239;139;292.000;;
Junio;6;2019;jun-19;Choclo;Primera;$/unidad;150;500;319;158;257.000;;
Julio;7;2019;jul-19;Choclo;Primera;$/unidad;230;800;425;158;257.000;;
Agosto;8;2019;ago-19;Choclo;Primera;$/unidad;400;800;602;245;180.000;;
Septiembre;9;2019;sept-19;Choclo;Primera;$/unidad;200;900;599;245;180.000;;
Octubre;10;2019;oct-19;Choclo;Primera;$/unidad;400;800;633;245;180.000;;
Noviembre;11;2019;nov-19;Choclo;Primera;$/unidad;200;800;533;245;180.000;;
Diciembre;12;2019;dic-19;Choclo;Primera;$/unidad;200;600;344;158;257.000;;
Enero;1;2020;ene-20;Choclo;Primera;$/unidad;180;500;312;163;554.000;;
Febrero;2;2020;feb-20;Choclo;Primera;$/unidad;200;500;304;190;650.000;;
Marzo;3;2020;mar-20;Choclo;Primera;$/unidad;200;450;306;163;575.500;;
Marzo;3;2019;mar-19;Coliflor;Primera;$/unidad;500;1.300;846;519;274.400;;
Abril;4;2019;abr-19;Coliflor;Primera;$/unidad;700;1.500;1.115;742;205.200;;
Mayo;5;2019;may-19;Coliflor;Primera;$/unidad;500;1.400;980;660;112.900;;
Junio;6;2019;jun-19;Coliflor;Primera;$/unidad;700;1.400;922;582;126.200;;
Julio;7;2019;jul-19;Coliflor;Primera;$/unidad;500;1.500;876;668;22.300;;
Agosto;8;2019;ago-19;Coliflor;Primera;$/unidad;600;1.700;1.050;616;62.900;;
Septiembre;9;2019;sept-19;Coliflor;Primera;$/unidad;500;1.200;787;515;242.900;;
Octubre;10;2019;oct-19;Coliflor;Primera;$/unidad;500;1.200;797;542;373.800;;
Noviembre;11;2019;nov-19;Coliflor;Primera;$/unidad;500;1.200;720;489;286.600;;
Diciembre;12;2019;dic-19;Coliflor;Primera;$/unidad;500;1.200;768;435;335.300;;
Enero;1;2020;ene-20;Coliflor;Primera;$/unidad;600;1.700;939;641;94.620;;
Febrero;2;2020;feb-20;Coliflor;Primera;$/unidad;650;2.000;1.213;783;52.400;;
Marzo;3;2020;mar-20;Coliflor;Primera;$/unidad;800;2.500;1.410;1.032;86.660;;
Marzo;3;2019;mar-19;Espinaca;Primera;$/kilo;1.200;2.800;1.793;808;66.800;6680*cuna 10 kilos;8075/cuna 10 kilos
Abril;4;2019;abr-19;Espinaca;Primera;$/kilo;800;2.000;1.435;451;75.400;7540*cuna 10 kilos;4514/cuna 10 kilos
Mayo;5;2019;may-19;Espinaca;Primera;$/kilo;800;2.000;1.356;412;109.800;10980*cuna 10 kilos;4121/cuna 10 kilos
Junio;6;2019;jun-19;Espinaca;Primera;$/kilo;800;2.000;1.295;438;42.000;4200*cuna 10 kilos;4382/cuna 10 kilos
Julio;7;2019;jul-19;Espinaca;Primera;$/kilo;1.000;2.000;1.391;466;172.000;17200*cuna 10 kilos;4660/cuna 10 kilos
Agosto;8;2019;ago-19;Espinaca;Primera;$/kilo;800;2.000;1.394;462;155.400;15540*cuna 10 kilos;4621/cuna 10 kilos
Septiembre;9;2019;sept-19;Espinaca;Primera;$/kilo;1.000;2.000;1.329;432;140.150;14015*cuna 10 kilos;4321/cuna 10 kilos
Octubre;10;2019;oct-19;Espinaca;Primera;$/kilo;800;2.000;1.311;472;166.000;16600*cuna 10 kilos;4716/cuna 10 kilos
Noviembre;11;2019;nov-19;Espinaca;Primera;$/kilo;800;2.000;1.264;454;107.800;10780*cuna 10 kilos;4541/cuna 10 kilos
Diciembre;12;2019;dic-19;Espinaca;Primera;$/kilo;700;2.000;1.319;503;105600;10560*cuna 10 kilos;5034/cuna 10 kilos
Enero;1;2020;ene-20;Espinaca;Primera;$/kilo;1.000;2.800;1.745;1.087;30.500;3050*cuna 10 kilos;10867/cuna 10 kilos
Febrero;2;2020;feb-20;Espinaca;Primera;$/kilo;1.200;3.200;2.111;1.263;27.800;2780*cuna 10 kilos;12633/cuna 10 kilos
Marzo;3;2020;mar-20;Espinaca;Primera;$/kilo;1.200;3.200;1.887;752;64.400;6440*cuna 10 kilos;7519/cuna 10 kilos
Mayo;5;2019;may-19;Haba;Primera;$/kilo;350;1.500;586;445;7.500;300*saco 25 kilos;11133/saco 25 kilos
Junio;6;2019;jun-19;Haba;Primera;$/kilo;400;1.200;535;290;58.750;2350*saco 25 kilos;7243/saco 25 kilos
Julio;7;2019;jul-19;Haba;Primera;$/kilo;350;1.000;518;290;58.750;;
Agosto;8;2019;ago-19;Haba;Primera;$/kilo;350;1.000;547;290;58.750;;
Septiembre;9;2019;sept-19;Haba;Primera;$/kilo;300;1.000;486;240;168750;6750*saco 25 kilos;6008/saco 25 kilos
Octubre;10;2019;oct-19;Haba;Primera;$/kilo;200;900;378;198;392250;15690*saco 25 kilos;4962/saco 25 kilos
Noviembre;11;2019;nov-19;Haba;Primera;$/kilo;300;800;498;331;228000;9120*saco 25 kilos;8268/saco 25 kilos
Diciembre;12;2019;dic-19;Haba;Primera;$/kilo;300;900;606;560;14000;560*saco 25 kilos;14000/saco 25 kilos
Enero;1;2020;ene-20;Haba;Primera;$/kilo;400;1.000;593;384;6250;250*saco 25 kilos;9600/saco 25 kilos
Marzo;3;2019;mar-19;Lechuga;Primera;$/unidad;500;1.000;740;439;49500;3300*caja 15 unidades;6583/caja 15 unidades
Abril;4;2019;abr-19;Lechuga;Primera;$/unidad;400;1.000;633;315;23250;;
Mayo;5;2019;may-19;Lechuga;Primera;$/unidad;400;1.000;579;315;23250;1550* caja 15 unidades;4732/caja 15 unidades
Junio;6;2019;jun-19;Lechuga;Primera;$/unidad;300;1.000;579;284;48750;3250*caja 15 unidades;4262/caja 15 unidades
Julio;7;2019;jul-19;Lechuga;Primera;$/unidad;400;1.000;572;242;277500;18500*caja 15 unidades;3624/caja 15 unidades
Agosto;8;2019;ago-19;Lechuga;Primera;$/unidad;333;1.000;551;214;9750;650*caja 15 unidades;3215/caja 15 unidades
Septiembre;9;2019;sept-19;Lechuga;Primera;$/unidad;300;1.000;545;250;11400;790*caja 15 unidades;3750/caja 15 unidades
Octubre;10;2019;oct-19;Lechuga;Primera;$/unidad;300;1.000;538;213;93150;6210*caja 15 unidades;3193/caja 15 unidades
Noviembre;11;2019;nov-19;Lechuga;Primera;$/unidad;300;1.000;530;183;155250;10350*caja 15 unidades;2750/caja 15 unidades
Diciembre;12;2019;dic-19;Lechuga;Primera;$/unidad;333;1.000;570;232;81000;5400*caja 15 unidades;3487/caja 15 unidades
Enero;1;2020;ene-20;Lechuga;Primera;$/unidad;300;1.000;601;253;158400;10560*caja 15 unidades;3799/caja 15 unidades
Febrero;2;2020;feb-20;Lechuga;Primera;$/unidad;400;1.000;733;340;116700;7780*caja 15 unidades;5104/caja 15 unidades
Marzo;3;2020;mar-20;Lechuga;Primera;$/unidad;500;1.000;764;426;200850;13390*caja 15 unidades;6396/caja 15 unidades
Marzo;3;2019;mar-19;Melón;Primera;$/unidad;500;1.200;810;503;37.000;;
Diciembre;12;2019;dic-19;Melón;Primera;$/unidad;500;1.500;805;571;11.400;;
Enero;1;2020;ene-20;Melón;Primera;$/unidad;500;1.700;842;571;11.400;;
Febrero;2;2020;feb-20;Melón;Primera;$/unidad;500;1.800;848;521;16.030;;
Marzo;3;2020;mar-20;Melón;Primera;$/unidad;500;1.700;901;521;16.030;;
Marzo;3;2019;mar-19;Pepino ensalada;Primera;$/unidad;200;600;336;135;133000;1900*caja 70 unidades;9468/caja 70 unidades
Abril;4;2019;abr-19;Pepino ensalada;Primera;$/unidad;150;600;275;98;233800;3340*caja 70 unidades;6874/caja 70 unidades
Mayo;5;2019;may-19;Pepino ensalada;Primera;$/unidad;180;500;281;108;79800;1140*caja 70 unidades;7561/caja 70 unidades
Junio;6;2019;jun-19;Pepino ensalada;Primera;$/unidad;150;500;290;122;55300;790* caja 70 unidades;8519/caja 70 unidades
Julio;7;2019;jul-19;Pepino ensalada;Primera;$/unidad;166;600;282;98;233800;;
Agosto;8;2019;ago-19;Pepino ensalada;Primera;$/unidad;200;600;363;135;133000;;
Septiembre;9;2019;sept-19;Pepino ensalada;Primera;$/unidad;200;600;340;135;133000;;
Octubre;10;2019;oct-19;Pepino ensalada;Primera;$/unidad;200;700;345;135;133000;;
Noviembre;11;2019;nov-19;Pepino ensalada;Primera;$/unidad;150;500;263;98;233800;;
Diciembre;12;2019;dic-19;Pepino ensalada;Primera;$/unidad;180;600;272;98;233800;;
Enero;1;2020;ene-20;Pepino ensalada;Primera;$/unidad;150;600;283;97;170800;2440*caja 70 unidades;6790/caja 70 unidades
Febrero;2;2020;feb-20;Pepino ensalada;Primera;$/unidad;200;600;280;95;317800;4540*caja 70 unidades;6622/caja 70 unidades
Marzo;3;2020;mar-20;Pepino ensalada;Primera;$/unidad;200;600;301;109;473900;6770*caja 70 unidades;7598/caja 70 unidades
Marzo;3;2019;mar-19;Poroto granado;Primera;$/kilo;500;1.500;889;669;342500;13700*saco 25 kilos;16729/saco 25 kilos
Abril;4;2019;abr-19;Poroto granado;Primera;$/kilo;600;1.500;845;591;321750;2870*saco 25 kilos;14780/saco 25 kilos
Mayo;5;2019;may-19;Poroto granado;Primera;$/kilo;650;1.500;948;726;121000;4840*saco 25 kilos;18157/saco 25 kilos
Diciembre;12;2019;dic-19;Poroto granado;Primera;$/kilo;1.000;2.500;1.706;1.004;220.250;8810*saco 25 kilos;25094/saco 25 kilos
Enero;1;2020;ene-20;Poroto granado;Primera;$/kilo;800;2.000;1.165;824;389750;15590*saco 25 kilos;20614/saco 25 kilos
Febrero;2;2020;feb-20;Poroto granado;Primera;$/kilo;800;2.000;1.255;977;254500;10180*saco 25 kilos;24430/saco 25 kilos
Marzo;3;2020;mar-20;Poroto granado;Primera;$/kilo;900;2.200;1.293;1017;373250;14930*saco 25 kilos;25417/saco 25 kilos
Marzo;3;2019;mar-19;Poroto verde;Primera;$/kilo;700;2.000;1.104;722;191500;7660*saco 25 kilos;10844/saco 25 kilos
Abril;4;2019;abr-19;Poroto verde;Primera;$/kilo;600;1.900;1.012;687;80000;3200*saco 25 kilos;17181/saco 25 kilos
Mayo;5;2019;may-19;Poroto verde;Primera;$/kilo;700;2.000;1.169;711;78500;;
Junio;6;2019;jun-19;Poroto verde;Primera;$/kilo;800;3.000;1.434;1.052;25.000;;
Julio;7;2019;jul-19;Poroto verde;Primera;$/kilo;900;3.000;1.393;1.052;25.000;;
Agosto;8;2019;ago-19;Poroto verde;Primera;$/kilo;1.000;2.400;1.500;1.052;25.000;;
Septiembre;9;2019;sept-19;Poroto verde;Primera;$/kilo;1.200;3.600;2.064;711;78500;;
Octubre;10;2019;oct-19;Poroto verde;Primera;$/kilo;1.500;3.000;2.147;711;78500;;
Noviembre;11;2019;nov-19;Poroto verde;Primera;$/kilo;1.000;3.000;1.803;711;78500;;
Diciembre;12;2019;dic-19;Poroto verde;Primera;$/kilo;800;2.000;1.370;711;78500;3140*saco 25 kilos;17768/saco 25 kilos
Enero;1;2020;ene-20;Poroto verde;Primera;$/kilo;700;2.500;1.268;645;44000;1760*saco 25 kilos;16125/saco 25 kilos
Febrero;2;2020;feb-20;Poroto verde;Primera;$/kilo;900;2.000;1.272;951;135000;5400*saco 25 kilos;23774/saco 25 kilos
Marzo;3;2020;mar-20;Poroto verde;Primera;$/kilo;1.000;2.500;1.416;1.052;25.000;1000*saco 25 kilos;26300/saco 25 kilos
Marzo;3;2019;mar-19;Repollo;Primera;$/unidad;800;2.000;1.397;728;351.700;;
Abril;4;2019;abr-19;Repollo;Primera;$/unidad;900;1.600;1.237;672;248.000;;
Mayo;5;2019;may-19;Repollo;Primera;$/unidad;700;1.600;1.101;522;285.470;;
Junio;6;2019;jun-19;Repollo;Primera;$/unidad;800;1.600;1.117;552;248.900;;
Julio;7;2019;jul-19;Repollo;Primera;$/unidad;700;1.600;1.163;690;86.580;;
Agosto;8;2019;ago-19;Repollo;Primera;$/unidad;700;1.600;1.205;602;129.620;;
Septiembre;9;2019;sept-19;Repollo;Primera;$/unidad;600;1.600;1.047;567;162.350;;
Octubre;10;2019;oct-19;Repollo;Primera;$/unidad;700;2.000;1.093;517;351.530;;
Noviembre;11;2019;nov-19;Repollo;Primera;$/unidad;600;1.500;1.028;485;231.670;;
Diciembre;12;2019;dic-19;Repollo;Primera;$/unidad;500;1.500;993;452;236.890;;
Enero;1;2020;ene-20;Repollo;Primera;$/unidad;700;2.400;1.253;591;95.470;;
Febrero;2;2020;feb-20;Repollo;Primera;$/unidad;800;2.400;1.568;909;31.620;;
Marzo;3;2020;mar-20;Repollo;Primera;$/unidad;1.400;3.200;2.224;1.039;64.100;;
Marzo;3;2019;mar-19;Sandia;Primera;$/unidad;2.000;3.000;2.342;1.617;30.190;;
Diciembre;12;2019;dic-19;Sandia;Primera;$/unidad;300;5.000;2.891;2.546;10.800;;
Enero;1;2020;ene-20;Sandia;Primera;$/unidad;1.500;4.500;2.837;2.024;99.400;;
Febrero;2;2020;feb-20;Sandia;Primera;$/unidad;1.500;3.500;2.535;1.535;26.690;;
Marzo;3;2020;mar-20;Sandia;Primera;$/unidad;2.000;3.200;2.547;1.458;6.700;;
Marzo;3;2019;mar-19;Tomate;Primera;$/kilo;500;1.400;780;530;96.120;5340*bandeja 18 kilos;9554/bandeja 18 kilos
Abril;4;2019;abr-19;Tomate;Primera;$/kilo;600;1.700;889;489;94.680;5260*bandeja 18 kilos;8810/bandeja 18 kilos
Mayo;5;2019;may-19;Tomate;Primera;$/kilo;550;1.300;793;530;96.120;;
Junio;6;2019;jun-19;Tomate;Primera;$/kilo;500;1.500;829;489;94.680;;
Julio;7;2019;jul-19;Tomate;Primera;$/kilo;400;1.200;647;285;378540;;
Agosto;8;2019;ago-19;Tomate;Primera;$/kilo;400;1.000;657;285;378540;;
Septiembre;9;2019;sept-19;Tomate;Primera;$/kilo;500;1.200;766;346;28260;;
Octubre;10;2019;oct-19;Tomate;Primera;$/kilo;600;1.500;930;489;94.680;;
Noviembre;11;2019;nov-19;Tomate;Primera;$/kilo;500;1.300;806;489;94.680;;
Diciembre;12;2019;dic-19;Tomate;Primera;$/kilo;400;1.200;777;346;28260;1570*bandeja 18 kilos;6229/bandeja 18 kilos
Enero;1;2020;ene-20;Tomate;Primera;$/kilo;450;1.300;720;285;378540;21030*bandeja 18 kilos;5123/bandeja 18 kilos
Febrero;2;2020;feb-20;Tomate;Primera;$/kilo;500;1.200;721;391;433620;24090*bandeja 18 kilos;7040/bandeja 18 kilos
Marzo;3;2020;mar-20;Tomate;Primera;$/kilo;500;1.400;770;360;603900;33550*bandeja 18 kilos;6485/bandeja 18 kilos
Marzo;3;2019;mar-19;Zanahoria;Primera;$/kilo;400;800;571;243;238400;11920*saco 20 kilos;4850/saco 20 kilos
Abril;4;2019;abr-19;Zanahoria;Primera;$/kilo;450;800;561;243;238400;;
Mayo;5;2019;may-19;Zanahoria;Primera;$/kilo;450;800;551;255;186000;9300*saco 20 kilos;5090/saco 20 kilos
Junio;6;2019;jun-19;Zanahoria;Primera;$/kilo;400;800;558;259;522200;26110*saco 20 kilos;5185/saco 20 kilos
Julio;7;2019;jul-19;Zanahoria;Primera;$/kilo;400;800;569;272;425000;1250*saco 20 kilos;5436/saco 20 kilos
Agosto;8;2019;ago-19;Zanahoria;Primera;$/kilo;400;800;568;255;321800;16090*saco 20 kilos;5103/saco 20 kilos
Septiembre;9;2019;sept-19;Zanahoria;Primera;$/kilo;500;1.000;617;300;316400;15820*saco 20 kilos;6000/saco 20 kilos
Octubre;10;2019;oct-19;Zanahoria;Primera;$/kilo;450;1.500;697;333;384000;19200*saco 20 kilos;6654/saco 20 kilos
Noviembre;11;2019;nov-19;Zanahoria;Primera;$/kilo;400;1.000;686;360;371000;18550*saco 20 kilos;7194/saco 20 kilos
Diciembre;12;2019;dic-19;Zanahoria;Primera;$/kilo;400;1.000;595;296;363600;18180*saco 20 kilos;5911/saco 20 kilos
Enero;1;2020;ene-20;Zanahoria;Primera;$/kilo;400;1.200;644;316;161600;8080*saco 20 kilos;6310/saco 20 kilos
Febrero;2;2020;feb-20;Zanahoria;Primera;$/kilo;500;1.000;609;300;18600;930*saco 20 kilos;6000/saco 20 kilos
Marzo;3;2020;mar-20;Zanahoria;Primera;$/kilo;350;1.200;682;269;28800;1440*saco 20 kilos;5382/saco 20 kilos
Marzo;3;2019;mar-19;Zapallo italiano;Primera;$/unidad;100;700;275;100;513100;7330*caja 70 unidades;6995/caja 70 unidades
Abril;4;2019;abr-19;Zapallo italiano;Primera;$/unidad;100;400;205;75;383250;5475*caja 70 unidades;5217/caja 70 unidades
Mayo;5;2019;may-19;Zapallo italiano;Primera;$/unidad;150;500;243;114;217700;3110*caja 70 unidades;7950/caja 70 unidades
Junio;6;2019;jun-19;Zapallo italiano;Primera;$/unidad;150;600;335;114;217700;;
Julio;7;2019;jul-19;Zapallo italiano;Primera;$/unidad;150;600;303;114;217700;;
Agosto;8;2019;ago-19;Zapallo italiano;Primera;$/unidad;250;600;432;114;217700;;
Septiembre;9;2019;sept-19;Zapallo italiano;Primera;$/unidad;250;600;426;114;217700;;
Octubre;10;2019;oct-19;Zapallo italiano;Primera;$/unidad;200;700;401;114;217700;;
Noviembre;11;2019;nov-19;Zapallo italiano;Primera;$/unidad;100;600;204;95;28700;;
Diciembre;12;2019;dic-19;Zapallo italiano;Primera;$/unidad;100;400;200;95;28700;410*caja 70 unidades;6634/caja 70 unidades
Enero;1;2020;ene-20;Zapallo italiano;Primera;$/unidad;100;600;253;100;179200;2560*caja 70 unidades;6991/caja 70 unidades
Febrero;2;2020;feb-20;Zapallo italiano;Primera;$/unidad;150;500;261;109;336700;4810*caja 70 unidades;7657/caja 70 unidades
Marzo;3;2020;mar-20;Zapallo italiano;Primera;$/unidad;150;500;267;112;359100;5130*caja 70 unidades;7850/caja 70 unidades
Marzo;3;2019;mar-19;Frutilla;Primera;$/kilo;750;1.500;1.084;759;65240;9320*bandeja 7 kilos;5319/bandeja 7 kilos
Abril;4;2019;abr-19;Frutilla;Primera;$/kilo;790;1.600;1.100;817;51240;7320*bandeja 7 kilos;5717/bandeja 7 kilos
Mayo;5;2019;may-19;Frutilla;Primera;$/kilo;800;1.600;1.168;943;39690;5670*bandeja 7 kilos;6601/bandeja 7 kilos
Octubre;10;2019;oct-19;Frutilla;Primera;$/kilo;700;2.000;1.160;849;183960;26280*bandeja 7 kilos;5944/bandeja 7 kilos
Noviembre;11;2019;nov-19;Frutilla;Primera;$/kilo;900;1.800;1.214;843;126840;18120*bandeja 7 kilos;5901/bandeja 7 kilos
Diciembre;12;2019;dic-19;Frutilla;Primera;$/kilo;800;2.000;1.259;929;134330;19190*bandeja 7 kilos;6502/bandeja 7 kilos
Enero;1;2020;ene-20;Frutilla;Primera;$/kilo;900;2.000;1.336;924;109060;15580*bandeja 7 kilos;6468/bandeja 7 kilos
Febrero;2;2020;feb-20;Frutilla;Primera;$/kilo;1.000;1.900;1.356;1.165;75.950;10850*bandeja 7 kilos;8161/bandeja 7 kilos
Marzo;3;2020;mar-20;Frutilla;Primera;$/kilo;1.000;2.700;1.530;1.116;71.890;10270*bandeja 7 kilos;7813/bandeja 7 kilos
