Mes_escrito;Mes;Anio;Mes/Año;Producto;Variedad;Calidad;Unidad;Precio mínimo;Precio máximo;Precio promedio;Precio ponderado mayorista;Volumen mayorista;Descripcion volumen;Descripcion precio
Marzo;3;2020;mar-20;Coliflor;Sin especificar;Segunda;$/unidad;600;2.000;1.069;841;50.030;;
Marzo;3;2019;mar-19;Espinaca;Sin especificar;Primera;$/kilo;1.200;2.800;1.793;808;66.800;6680*cuna 10 kilos;8075/cuna 10 kilos
Marzo;3;2019;mar-19;Espinaca;Sin especificar;Segunda;$/kilo;1.000;1.800;1.332;600;4.800;480*cuna 10 kilos;6000/cuna 10 kilos
Abril;4;2019;abr-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.435;451;75.400;7540*cuna 10 kilos;4514/cuna 10 kilos
Abril;4;2019;abr-19;Espinaca;Sin especificar;Segunda;$/kilo;600;1.400;1.067;349;9.900;990*cuna 10 kilos;3485/cuna 10 kilos
Mayo;5;2019;may-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.356;412;109.800;10980*cuna 10 kilos;4121/cuna 10 kilos
Mayo;5;2019;may-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.019;250;1.100;110*cuna 10 kilos;2500/cuna 10 kilos
Junio;6;2019;jun-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.295;438;42.000;4200*cuna 10 kilos;4382/cuna 10 kilos
Junio;6;2019;jun-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.032;473;6.300;630*cuna 10 kilos;4730/cuna 10 kilos
Julio;7;2019;jul-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.391;466;172.000;17200*cuna 10 kilos;4660/cuna 10 kilos
Julio;7;2019;jul-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.400;1.046;;;;
Agosto;8;2019;ago-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.394;462;155.400;15540*cuna 10 kilos;4621/cuna 10 kilos
Agosto;8;2019;ago-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.400;1.005;350;2.400;240*cuna 10 kilos;3500/cuna 10 kilos
Septiembre;9;2019;sept-19;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.000;1.329;432;140.150;14015*cuna 10 kilos;4321/cuna 10 kilos
Septiembre;9;2019;sept-19;Espinaca;Sin especificar;Segunda;$/kilo;500;1.200;999;;;;
Octubre;10;2019;oct-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.311;472;166.000;16600*cuna 10 kilos;4716/cuna 10 kilos
Octubre;10;2019;oct-19;Espinaca;Sin especificar;Segunda;$/kilo;700;1.200;1.011;;;;
Noviembre;11;2019;nov-19;Espinaca;Sin especificar;Primera;$/kilo;800;2.000;1.264;454;107.800;10780*cuna 10 kilos;4541/cuna 10 kilos
Noviembre;11;2019;nov-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;945;;;;
Diciembre;12;2019;dic-19;Espinaca;Sin especificar;Primera;$/kilo;700;2.000;1.319;503;105600;10560*cuna 10 kilos;5034/cuna 10 kilos
Diciembre;12;2019;dic-19;Espinaca;Sin especificar;Segunda;$/kilo;800;1.200;995;;;;
Enero;1;2020;ene-20;Espinaca;Sin especificar;Primera;$/kilo;1.000;2.800;1.745;1.087;30.500;3050*cuna 10 kilos;10867/cuna 10 kilos
Enero;1;2020;ene-20;Espinaca;Sin especificar;Segunda;$/kilo;800;1.600;1.221;850;3600;360*cuna 10 kilos;8500/cuna 10 kilos
Febrero;2;2020;feb-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;2.111;1.263;27.800;2780*cuna 10 kilos;12633/cuna 10 kilos
Febrero;2;2020;feb-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.400;1.834;;;;
Marzo;3;2020;mar-20;Espinaca;Sin especificar;Primera;$/kilo;1.200;3.200;1.887;752;64.400;6440*cuna 10 kilos;7519/cuna 10 kilos
Marzo;3;2020;mar-20;Espinaca;Sin especificar;Segunda;$/kilo;1.000;2.000;1.567;669;8.000;800*cuna 10 kilos;6688/cuna 10 kilos
Mayo;5;2019;may-19;Haba;Sin especificar;Primera;$/kilo;350;1.500;586;445;7.500;300*saco 25 kilos;11133/saco 25 kilos
Mayo;5;2019;may-19;Haba;Sin especificar;Segunda;$/kilo;400;500;464;;;;
Junio;6;2019;jun-19;Haba;Sin especificar;Primera;$/kilo;400;1.200;535;290;58.750;2350*saco 25 kilos;7243/saco 25 kilos
Junio;6;2019;jun-19;Haba;Sin especificar;Segunda;$/kilo;300;450;387;;;;
Julio;7;2019;jul-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;518;;;;
Julio;7;2019;jul-19;Haba;Sin especificar;Segunda;$/kilo;300;450;390;;;;
Agosto;8;2019;ago-19;Haba;Sin especificar;Primera;$/kilo;350;1.000;547;;;;
Agosto;8;2019;ago-19;Haba;Sin especificar;Segunda;$/kilo;300;500;396;;;;
Septiembre;9;2019;sept-19;Haba;Sin especificar;Primera;$/kilo;300;1.000;486;240;168750;6750*saco 25 kilos;6008/saco 25 kilos
Septiembre;9;2019;sept-19;Haba;Sin especificar;Segunda;$/kilo;250;600;377;200;9250;370*saco 25 kilos;5000/saco 25 kilos
Octubre;10;2019;oct-19;Haba;Sin especificar;Primera;$/kilo;200;900;378;198;392250;15690*saco 25 kilos;4962/saco 25 kilos
Octubre;10;2019;oct-19;Haba;Sin especificar;Segunda;$/kilo;200;400;299;131;49250;1970*saco 25 kilos;3287/saco 25 kilos
Noviembre;11;2019;nov-19;Haba;Sin especificar;Primera;$/kilo;300;800;498;331;228000;9120*saco 25 kilos;8268/saco 25 kilos
Noviembre;11;2019;nov-19;Haba;Sin especificar;Segunda;$/kilo;250;400;346;200;2500;100*saco 25 kilos;5000/saco 25 kilos
Diciembre;12;2019;dic-19;Haba;Sin especificar;Primera;$/kilo;300;900;606;560;14000;560*saco 25 kilos;14000/saco 25 kilos
Diciembre;12;2019;dic-19;Haba;Sin especificar;Segunda;$/kilo;300;600;412;;;;
Enero;1;2020;ene-20;Haba;Sin especificar;Primera;$/kilo;400;1.000;593;384;6250;250*saco 25 kilos;9600/saco 25 kilos
Marzo;3;2019;mar-19;Lechuga;Escarola;Primera;$/unidad;500;1.000;740;439;49500;3300*caja 15 unidades;6583/caja 15 unidades
Marzo;3;2019;mar-19;Lechuga;Escarola;Segunda;$/unidad;350;700;555;294;63000;3500*caja 18 unidades;5286/caja 18 unidades
Abril;4;2019;abr-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;633;;;;
Abril;4;2019;abr-19;Lechuga;Escarola;Segunda;$/unidad;250;600;465;;;;
Mayo;5;2019;may-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;579;315;23250;1550* caja 15 unidades;4732/caja 15 unidades
Mayo;5;2019;may-19;Lechuga;Escarola;Segunda;$/unidad;300;600;413;173;11880;660*caja 18 unidads;3121/caja 18 unidades
Junio;6;2019;jun-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;579;284;48750;3250*caja 15 unidades;4262/caja 15 unidades
Junio;6;2019;jun-19;Lechuga;Escarola;Segunda;$/unidad;250;600;408;156;56160;3120*caja 18 unidades;2801/caja 18 unidades
Julio;7;2019;jul-19;Lechuga;Escarola;Primera;$/unidad;400;1.000;572;242;277500;18500*caja 15 unidades;3624/caja 15 unidades
Julio;7;2019;jul-19;Lechuga;Escarola;Segunda;$/unidad;250;700;400;147;220680;12260*caja 18 unidades;2637/caja 18 unidades
Agosto;8;2019;ago-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;551;214;9750;650*caja 15 unidades;3215/caja 15 unidades
Agosto;8;2019;ago-19;Lechuga;Escarola;Segunda;$/unidad;250;550;380;;;;
Septiembre;9;2019;sept-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;545;250;11400;790*caja 15 unidades;3750/caja 15 unidades
Septiembre;9;2019;sept-19;Lechuga;Escarola;Segunda;$/unidad;200;600;372;153;9000;500*caja 18 unidades;2750/caja 18 unidades
Octubre;10;2019;oct-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;538;213;93150;6210*caja 15 unidades;3193/caja 15 unidades
Octubre;10;2019;oct-19;Lechuga;Escarola;Segunda;$/unidad;200;500;357;122;70920;3940*caja 18 unidades;2190/caja 18 unidades
Noviembre;11;2019;nov-19;Lechuga;Escarola;Primera;$/unidad;300;1.000;530;183;155250;10350*caja 15 unidades;2750/caja 15 unidades
Noviembre;11;2019;nov-19;Lechuga;Escarola;Segunda;$/unidad;200;500;367;99;125640;6980*caja 18 unidades;1784/caja 18 unidades
Diciembre;12;2019;dic-19;Lechuga;Escarola;Primera;$/unidad;333;1.000;570;232;81000;5400*caja 15 unidades;3487/caja 15 unidades
Diciembre;12;2019;dic-19;Lechuga;Escarola;Segunda;$/unidad;250;600;419;141;64800;3600*caja 18 unidades;2542/caja 18 unidades
Enero;1;2020;ene-20;Lechuga;Escarola;Primera;$/unidad;300;1.000;601;253;158400;10560*caja 15 unidades;3799/caja 15 unidades
Enero;1;2020;ene-20;Lechuga;Escarola;Segunda;$/unidad;250;600;441;143;165060;9170*caja 18 unidades;2579/caja 18 unidades
Febrero;2;2020;feb-20;Lechuga;Escarola;Primera;$/unidad;400;1.000;733;340;116700;7780*caja 15 unidades;5104/caja 15 unidades
Febrero;2;2020;feb-20;Lechuga;Escarola;Segunda;$/unidad;300;800;542;202;103860;5770*caja 18 unidades;3633/caja 18 unidades
Marzo;3;2020;mar-20;Lechuga;Escarola;Primera;$/unidad;500;1.000;764;426;200850;13390*caja 15 unidades;6396/caja 15 unidades
Marzo;3;2020;mar-20;Lechuga;Escarola;Segunda;$/unidad;300;700;573;273;169200;9400*caja 18 unidades;4914/caja 18 unidades
Marzo;3;2019;mar-19;Melón;Tuna;Primera;$/unidad;500;1.200;810;503;37.000;;
Marzo;3;2019;mar-19;Melón;Tuna;Segunda;$/unidad;400;600;514;363;31.900;;
Diciembre;12;2019;dic-19;Melón;Tuna;Primera;$/unidad;500;1.500;805;571;11.400;;
Diciembre;12;2019;dic-19;Melón;Tuna;Segunda;$/unidad;333;800;569;470;8.600;;
Enero;1;2020;ene-20;Melón;Tuna;Primera;$/unidad;500;1.700;842;;;;
Enero;1;2020;ene-20;Melón;Tuna;Segunda;$/unidad;400;1.000;605;;;;
Febrero;2;2020;feb-20;Melón;Tuna;Primera;$/unidad;500;1.800;848;521;16.030;;
Febrero;2;2020;feb-20;Melón;Tuna;Segunda;$/unidad;400;800;622;383;7.520;;
Marzo;3;2020;mar-20;Melón;Tuna;Primera;$/unidad;500;1.700;901;;;;
Marzo;3;2020;mar-20;Melón;Tuna;Segunda;$/unidad;400;900;626;;;;
Marzo;3;2019;mar-19;Papa;Asterix;Primera;$/kilo;350;800;485;;;;
Marzo;3;2019;mar-19;Papa;Asterix;Segunda;$/kilo;300;500;374;;;;
Abril;4;2019;abr-19;Papa;Asterix;Primera;$/kilo;350;800;469;;;;
Abril;4;2019;abr-19;Papa;Asterix;Segunda;$/kilo;250;500;347;;;;
Mayo;5;2019;may-19;Papa;Asterix;Primera;$/kilo;300;700;473;;;;
Mayo;5;2019;may-19;Papa;Asterix;Segunda;$/kilo;250;500;363;;;;
Junio;6;2019;jun-19;Papa;Asterix;Primera;$/kilo;300;900;496;;;;
Junio;6;2019;jun-19;Papa;Asterix;Segunda;$/kilo;250;450;376;;;;
Julio;7;2019;jul-19;Papa;Asterix;Primera;$/kilo;300;700;494;;;;
Julio;7;2019;jul-19;Papa;Asterix;Segunda;$/kilo;200;550;361;;;;
Agosto;8;2019;ago-19;Papa;Asterix;Primera;$/kilo;300;700;485;;;;
Agosto;8;2019;ago-19;Papa;Asterix;Segunda;$/kilo;250;500;367;;;;
Septiembre;9;2019;sept-19;Papa;Asterix;Primera;$/kilo;400;900;515;;;;
Septiembre;9;2019;sept-19;Papa;Asterix;Segunda;$/kilo;300;500;386;;;;
Octubre;10;2019;oct-19;Papa;Asterix;Primera;$/kilo;400;1.000;575;;;;
Octubre;10;2019;oct-19;Papa;Asterix;Segunda;$/kilo;300;600;440;;;;
Noviembre;11;2019;nov-19;Papa;Asterix;Primera;$/kilo;350;800;525;;;;
Noviembre;11;2019;nov-19;Papa;Asterix;Segunda;$/kilo;300;500;376;;;;
Diciembre;12;2019;dic-19;Papa;Asterix;Primera;$/kilo;300;800;484;;;;
Diciembre;12;2019;dic-19;Papa;Asterix;Segunda;$/kilo;250;550;361;;;;
Enero;1;2020;ene-20;Papa;Asterix;Primera;$/kilo;350;900;526;;;;
Enero;1;2020;ene-20;Papa;Asterix;Segunda;$/kilo;300;500;387;;;;
Febrero;2;2020;feb-20;Papa;Asterix;Primera;$/kilo;350;900;522;;;;
Febrero;2;2020;feb-20;Papa;Asterix;Segunda;$/kilo;250;500;401;;;;
Marzo;3;2020;mar-20;Papa;Asterix;Primera;$/kilo;300;800;522;;;;
Marzo;3;2020;mar-20;Papa;Asterix;Segunda;$/kilo;250;500;402;;;;
Marzo;3;2019;mar-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;336;135;133000;1900*caja 70 unidades;9468/caja 70 unidades
Marzo;3;2019;mar-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;450;232;94;38000;380*caja 100 unidades;9447/caja 100 unidades
Abril;4;2019;abr-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;275;98;233800;3340*caja 70 unidades;6874/caja 70 unidades
Abril;4;2019;abr-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;185;47;41000;410*caja 100 unidades;4707/caja 100 unidades
Mayo;5;2019;may-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;500;281;108;79800;1140*caja 70 unidades;7561/caja 70 unidades
Mayo;5;2019;may-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;202;68;29000;290*caja 100 unidades;6793/caja 100 unidades
Junio;6;2019;jun-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;290;122;55300;790* caja 70 unidades;8519/caja 70 unidades
Junio;6;2019;jun-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;203;;;;
Julio;7;2019;jul-19;Pepino ensalada;Sin especificar;Primera;$/unidad;166;600;282;;;;
Julio;7;2019;jul-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204;;;;
Agosto;8;2019;ago-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;363;;;;
Agosto;8;2019;ago-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;233;;;;
Septiembre;9;2019;sept-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;340;;;;
Septiembre;9;2019;sept-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;238;;;;
Octubre;10;2019;oct-19;Pepino ensalada;Sin especificar;Primera;$/unidad;200;700;345;;;;
Octubre;10;2019;oct-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;166;500;251;;;;
Noviembre;11;2019;nov-19;Pepino ensalada;Sin especificar;Primera;$/unidad;150;500;263;;;;
Noviembre;11;2019;nov-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;250;166;;;;
Diciembre;12;2019;dic-19;Pepino ensalada;Sin especificar;Primera;$/unidad;180;600;272;;;;
Diciembre;12;2019;dic-19;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;350;182;;;;
Enero;1;2020;ene-20;Pepino ensalada;Sin especificar;Primera;$/unidad;150;600;283;97;170800;2440*caja 70 unidades;6790/caja 70 unidades
Enero;1;2020;ene-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;300;195;49;192000;1920*caja 100 unidades;4909/caja 100 unidades
Febrero;2;2020;feb-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;280;95;317800;4540*caja 70 unidades;6622/caja 70 unidades
Febrero;2;2020;feb-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;100;400;204;46;415000;4150*caja 100 unidades;4593/caja 100 unidades
Marzo;3;2020;mar-20;Pepino ensalada;Sin especificar;Primera;$/unidad;200;600;301;109;473900;6770*caja 70 unidades;7598/caja 70 unidades
Marzo;3;2020;mar-20;Pepino ensalada;Sin especificar;Segunda;$/unidad;150;400;206;50;231000;2310*caja 100 unidades;5000/caja 100 unidades
Marzo;3;2019;mar-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;321;;;;
Marzo;3;2019;mar-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
Abril;4;2019;abr-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;700;310;;;;
Abril;4;2019;abr-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;300;194;;;;
Mayo;5;2019;may-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;150;700;294;;;;
Mayo;5;2019;may-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;192;;;;
Junio;6;2019;jun-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;600;285;;;;
Junio;6;2019;jun-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;500;200;;;;
Julio;7;2019;jul-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;500;300;;;;
Julio;7;2019;jul-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;125;350;213;;;;
Agosto;8;2019;ago-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;700;344;;;;
Agosto;8;2019;ago-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;150;300;240;;;;
Septiembre;9;2019;sept-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;600;392;;;;
Septiembre;9;2019;sept-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;150;400;272;;;;
Octubre;10;2019;oct-19;Pimiento;Cuatro cascos verde;Primera;$/unidad;300;500;405;;;;
Octubre;10;2019;oct-19;Pimiento;Cuatro cascos verde;Segunda;$/unidad;200;350;284;;;;
Enero;1;2020;ene-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;900;332;;;;
Enero;1;2020;ene-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
Febrero;2;2020;feb-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;166;600;335;;;;
Febrero;2;2020;feb-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;300;215;;;;
Marzo;3;2020;mar-20;Pimiento;Cuatro cascos verde;Primera;$/unidad;200;500;323;;;;
Marzo;3;2020;mar-20;Pimiento;Cuatro cascos verde;Segunda;$/unidad;100;350;213;;;;
Marzo;3;2019;mar-19;Poroto granado;Sin especificar;Primera;$/kilo;500;1.500;889;669;342500;13700*saco 25 kilos;16729/saco 25 kilos
Marzo;3;2019;mar-19;Poroto granado;Sin especificar;Segunda;$/kilo;600;1.200;825;562;85750;3430*saco 25 kilos;14055/saco 25 kilos
Abril;4;2019;abr-19;Poroto granado;Sin especificar;Primera;$/kilo;600;1.500;845;591;321750;2870*saco 25 kilos;14780/saco 25 kilos
Abril;4;2019;abr-19;Poroto granado;Sin especificar;Segunda;$/kilo;500;800;662;470;77500;3100*saco 25 kilos;11742/saco 25 kilos
Mayo;5;2019;may-19;Poroto granado;Sin especificar;Primera;$/kilo;650;1.500;948;726;121000;4840*saco 25 kilos;18157/saco 25 kilos
Mayo;5;2019;may-19;Poroto granado;Sin especificar;Segunda;$/kilo;600;1.000;843;564;13250;530*saco 25 kilos;14094/saco 25 kilos
Diciembre;12;2019;dic-19;Poroto granado;Sin especificar;Primera;$/kilo;1.000;2.500;1.706;1.004;220.250;8810*saco 25 kilos;25094/saco 25 kilos
Diciembre;12;2019;dic-19;Poroto granado;Sin especificar;Segunda;$/kilo;1.000;2.000;1.466;554;19.750;790*saco 25 kilos;13861/saco 25 kilos
Enero;1;2020;ene-20;Poroto granado;Sin especificar;Primera;$/kilo;800;2.000;1.165;824;389750;15590*saco 25 kilos;20614/saco 25 kilos
Enero;1;2020;ene-20;Poroto granado;Sin especificar;Segunda;$/kilo;750;1.400;1.024;645;50500;2020*saco 25 kilos;16114/saco 25 kilos
Febrero;2;2020;feb-20;Poroto granado;Sin especificar;Primera;$/kilo;800;2.000;1.255;977;254500;10180*saco 25 kilos;24430/saco 25 kilos
Febrero;2;2020;feb-20;Poroto granado;Sin especificar;Segunda;$/kilo;700;1.500;1.036;784;33500;1340*saco 25 kilos;19612/saco 25 kilos
Marzo;3;2020;mar-20;Poroto granado;Sin especificar;Primera;$/kilo;900;2.200;1.293;1017;373250;14930*saco 25 kilos;25417/saco 25 kilos
Marzo;3;2020;mar-20;Poroto granado;Sin especificar;Segunda;$/kilo;800;1.500;1.128;846;27000;1080*saco 25 kilos;21148/saco 25 kilos
Marzo;3;2019;mar-19;Poroto verde;Sin especificar;Primera;$/kilo;700;2.000;1.104;722;191500;7660*saco 25 kilos;10844/saco 25 kilos
Marzo;3;2019;mar-19;Poroto verde;Sin especificar;Segunda;$/kilo;700;1.600;900;634;46750;1870*saco 25 kilos;15854/saco 25 kilos
Abril;4;2019;abr-19;Poroto verde;Sin especificar;Primera;$/kilo;600;1.900;1.012;687;80000;3200*saco 25 kilos;17181/saco 25 kilos
Abril;4;2019;abr-19;Poroto verde;Sin especificar;Segunda;$/kilo;600;1.000;777;480;5250;210*saco 25 kilos;12000/saco 25 kilos
Mayo;5;2019;may-19;Poroto verde;Magnum;Primera;$/kilo;700;2.000;1.169;;;;
Mayo;5;2019;may-19;Poroto verde;Magnum;Segunda;$/kilo;600;1.200;923;;;;
Junio;6;2019;jun-19;Poroto verde;Magnum;Primera;$/kilo;800;3.000;1.434;;;;
Junio;6;2019;jun-19;Poroto verde;Magnum;Segunda;$/kilo;700;2.000;1.035;;;;
Julio;7;2019;jul-19;Poroto verde;Magnum;Primera;$/kilo;900;3.000;1.393;;;;
Julio;7;2019;jul-19;Poroto verde;Magnum;Segunda;$/kilo;800;2.000;1.279;;;;
Agosto;8;2019;ago-19;Poroto verde;Magnum;Primera;$/kilo;1.000;2.400;1.500;;;;
Agosto;8;2019;ago-19;Poroto verde;Magnum;Segunda;$/kilo;1.000;1.600;1.295;;;;
Septiembre;9;2019;sept-19;Poroto verde;Magnum;Primera;$/kilo;1.200;3.600;2.064;;;;
Septiembre;9;2019;sept-19;Poroto verde;Magnum;Segunda;$/kilo;1.200;2.000;1.807;;;;
Octubre;10;2019;oct-19;Poroto verde;Magnum;Primera;$/kilo;1.500;3.000;2.147;;;;
Octubre;10;2019;oct-19;Poroto verde;Magnum;Segunda;$/kilo;1.400;2.200;1.826;;;;
Noviembre;11;2019;nov-19;Poroto verde;Magnum;Primera;$/kilo;1.000;3.000;1.803;;;;
Noviembre;11;2019;nov-19;Poroto verde;Magnum;Segunda;$/kilo;1.000;2.000;1.463;;;;
Diciembre;12;2019;dic-19;Poroto verde;Magnum;Primera;$/kilo;800;2.000;1.370;711;78500;3140*saco 25 kilos;17768/saco 25 kilos
